pos,Property Name,Price,HouseType,Areainsqft,NoofBedrooms,NoofBathrooms,NoofReceptions,Location,City/County,PostalCode,lat,long,n_pois,distance_to_london,District_x,NCrime,DisToHospital,DisToSubway,DisToShool,HouseTypeLabel,Postcode,District_y,PostalCodeLabel
13.0,Grove End House,725000.0,Flat / Apartment,778.0,2.0,2.0,2.0, St. John's Wood,London,NW8 9HP,51.527952,-0.174903,2872.0,4.427130825245152,Westminster,77772.0,0.4213342891173365,0.761602107158578,1.286117436383873,2,NW8 9HP,Westminster,90241
14.0,Abercorn Mansions,750000.0,Flat / Apartment,647.0,2.0,2.0,2.0,17 Abercorn Place,London,NW8 9DY,51.532649,-0.180857,7685.0,5.040240995283848,Westminster,77772.0,0.4267096533275087,0.4617814816295403,0.6943560340133985,2,NW8 9DY,Westminster,90218
15.0,Chester Terrace,12500000.0,House,4596.0,6.0,6.0,6.0,Regents Park,London,NW1 4ND,51.529081,-0.145235,378.0,2.849615914023107,Camden,39733.0,0.6740434885358648,0.5910920318437035,0.2186665322905607,3,NW1 4ND,Camden,78517
2574.0,Chester Terrace,6500000.0,House,4185.0,6.0,6.0,6.0,Regent's Park,London,NW1 4ND,51.529081,-0.145235,2882.0,2.849615914023107,Camden,39733.0,0.6740434885358648,0.5910920318437035,0.2186665322905607,3,NW1 4ND,Camden,78517
16.0,Cambridge Park,1450000.0,Flat / Apartment,1702.0,3.0,3.0,3.0,,Twickenham,TW1 2PF,51.453519,-0.312232,2.0,14.872357098790031,Richmond upon Thames,13431.0,2.400112223292482,1.3189137258453183,1.7491381799276662,2,TW1 2PF,Richmond upon Thames,143965
18.0,Elsworthy Rise,2275000.0,New development,1173.0,3.0,3.0,3.0,Primrose Hill,London,NW3 3DS,51.541383,-0.163738,2348.0,4.725689041286797,Camden,39733.0,0.973965501961914,0.7560196203113383,0.6654824323822338,5,NW3 3DS,Camden,84990
2752.0,Elsworthy Rise,1050000.0,New development,612.0,1.0,1.0,1.0,Primrose Hill,London,NW3 3DS,51.541383,-0.163738,3025.0,4.725689041286797,Camden,39733.0,0.973965501961914,0.7560196203113383,0.6654824323822338,5,NW3 3DS,Camden,84990
3046.0,Elsworthy Rise,1050000.0,New development,546.0,1.0,1.0,1.0,Primrose Hill,London,NW3 3DS,51.541383,-0.163738,8581.0,4.725689041286797,Camden,39733.0,0.973965501961914,0.7560196203113383,0.6654824323822338,5,NW3 3DS,Camden,84990
3191.0,Elsworthy Road,7250000.0,New development,3185.0,4.0,4.0,4.0,Primrose Hill,London,NW3 3DS,51.541383,-0.163738,2331.0,4.725689041286797,Camden,39733.0,0.973965501961914,0.7560196203113383,0.6654824323822338,5,NW3 3DS,Camden,84990
19.0,St. Anns Road,1075000.0,Duplex,865.0,2.0,2.0,2.0,,Holland Park,W11 4SR,51.508224,-0.215291,1080.0,6.750681562385766,Kensington and Chelsea,25843.0,1.6117925854754638,0.4557616012999572,0.5060138813686061,1,W11 4SR,Kensington and Chelsea,159542
20.0,Clapham Road,500000.0,Flat / Apartment,597.0,1.0,1.0,1.0,,London,SW9 9BT,51.466565,-0.128334,8519.0,4.869696870107067,Lambeth,36982.0,2.423159769920807,0.741760664026467,1.9780242555766867,2,SW9 9BT,Lambeth,143122
21.0,Devonshire Close,5500000.0,House,3016.0,4.0,4.0,4.0,Marylebone,London,W1G 7BA,51.521279,-0.14735,4836.0,2.395328845070153,Westminster,77772.0,0.2447801973217884,0.2538435255083458,0.164021024568185,3,W1G 7BA,Westminster,163944
22.0,The Draycott,8950000.0,New development,3154.0,4.0,4.0,4.0,10 Draycott Avenue,London,SW3 3AA,51.491704,-0.162728,3164.0,3.699932156285727,Kensington and Chelsea,25843.0,0.6237964992004456,0.433155328634379,1.021902888084218,5,SW3 3AA,Kensington and Chelsea,137480
23.0,Campden Hill Gardens,1175000.0,Flat / Apartment,765.0,2.0,2.0,2.0,,London,W8 7AX,51.507579,-0.199595,4029.0,5.664242745870625,Kensington and Chelsea,25843.0,1.4927138327259526,0.2729375957093985,0.6629682571200592,2,W8 7AX,Kensington and Chelsea,175986
2390.0,Campden Hill Gardens,775000.0,Flat / Apartment,476.0,1.0,1.0,1.0,,London,W8 7AX,51.507579,-0.199595,4697.0,5.664242745870625,Kensington and Chelsea,25843.0,1.4927138327259526,0.2729375957093985,0.6629682571200592,2,W8 7AX,Kensington and Chelsea,175986
24.0,College Cross,550000.0,Flat / Apartment,479.0,1.0,1.0,1.0,Islington,London,N1 1PT,51.541813,-0.105358,2950.0,3.6626982976481433,Islington,31022.0,1.1947421704254717,0.4873838848455563,0.8683107579401749,2,N1 1PT,Islington,60882
1243.0,College Cross,2395000.0,House,2212.0,4.0,4.0,4.0,Islington,London,N1 1PT,51.541813,-0.105358,419.0,3.6626982976481433,Islington,31022.0,1.1947421704254717,0.4873838848455563,0.8683107579401749,3,N1 1PT,Islington,60882
25.0,St Mary's Grove,1300000.0,House,1101.0,3.0,3.0,3.0, Islington,London,N1 2NT,51.545336,-0.098001,1673.0,4.185506550674496,Islington,31022.0,0.7875661035615265,0.4177734838215576,0.2995637057088986,3,N1 2NT,Islington,61173
26.0,Goldhurst Terrace,800000.0,Flat / Apartment,1177.0,3.0,3.0,3.0,South Hampstead,London,NW6 3HR,51.541806,-0.183377,1345.0,5.758254203796121,Camden,39733.0,0.7814144145500472,0.6217445320179621,0.2780996834574124,2,NW6 3HR,Camden,87862
27.0,Upper Park Road,3500000.0,House,2331.0,4.0,4.0,4.0,Belsize Park,London,NW3 2UP,51.549288,-0.160867,339.0,5.2961863357497965,Camden,39733.0,0.5948889086493228,0.7650125201021787,0.8958547466870374,3,NW3 2UP,Camden,84927
800.0,Upper Park Road,5250000.0,House,3782.0,8.0,8.0,8.0,Belsize Park,London,NW3 2UP,51.549288,-0.160867,5171.0,5.2961863357497965,Camden,39733.0,0.5948889086493228,0.7650125201021787,0.8958547466870374,3,NW3 2UP,Camden,84927
29.0,Roymount Court,400000.0,Flat / Apartment,805.0,2.0,2.0,2.0, Surbiton,Surrey,KT6 6NW,51.388688,-0.306375,808.0,18.790398372952847,Kingston upon Thames,13398.0,3.35393772418052,7.915375230306786,1.734826649862609,2,KT6 6NW,Kingston upon Thames,59767
30.0,Wetherby House,1100000.0,Flat / Apartment,582.0,2.0,2.0,2.0,20-21 Wetherby Gardens,London,SW5 0JP,51.492359,-0.184133,624.0,4.98227903020428,Kensington and Chelsea,25843.0,0.6009616603734517,0.2444154003875571,0.2679086606201494,2,SW5 0JP,Kensington and Chelsea,139111
